site_id,data_hub,network,oneflux_code_version_manifest,release_version,product_id,location_lat,location_long,igbp,p_era_mean_mm_1981_2025,p_era_mean_mm_tower_years,n_years_era_tower_years,p_era_sd_mm,n_years_era_full_record,p_era_cv,p_measured_mean_mm,n_years_measured,n_years_fm_total,bio12_mm,badm_map_mm,elevation_m,oneflux_code_version,frac_measured,record_length_years,log_ratio_era_bio12,log_ratio_measured_bio12,log_ratio_era_measured,log_ratio_badm_bio12
AR-Bal,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/2571144,-37.7596,-58.3024,CRO,424.47384444444447,432.527,2,67.66332610128538,45,0.1594051718070964,NA,NA,2,835,926,130,1.3.5-rc,NA,2,-0.2938355407703257,NA,NA,0.04492451119833225
AR-CCa,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/2571134,-35.621,-61.3181,CRO,3463.168511111111,3415.2034444444444,9,658.215594345998,45,0.19006167104898353,NA,NA,9,1018,1060,83,1.3.5-rc,NA,9,0.5317258459960739,NA,NA,0.01755808726403027
AR-CCg,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/2469434,-35.9244,-61.1855,GRA,3412.7873863636364,2795.2657142857142,7,705.6668060527959,44,0.20677139421940136,NA,NA,7,1004,1060,84,1.3.2-rc,NA,7,0.5313755201501994,NA,NA,0.02357215245576969
AR-TF1,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/1818370,-54.9733,-66.7335,WET,3589.6301590909093,3430.246,3,313.034365865753,44,0.08720518604764298,NA,NA,3,658,NA,40,1.3.2-rc,NA,3,0.7368238117498573,NA,NA,NA
AR-TF2,AmeriFlux,AmeriFlux,v1.3,r1,10.17190/AMF/2571120,-54.8269,-68.4549,WET,3848.52,3784.856333333333,3,272.9225211061377,44,0.07091622782423833,NA,NA,3,596,530,60,1.3.2-rc,NA,3,0.8100474881039612,NA,NA,-0.05097039013944739
AT-Mmg,ICOS,European Fluxes Database,v1.3,r1,SR8Y7XJE2CuwVkPh9WO7iXKF,47.316563,10.970089,ENF,816.9215909090909,887.462,4,79.57825078216838,44,0.09741234858734936,891.6406666666667,3,4,1150,768,960,1.3.2-rc,0.75,4,-0.14851746591381126,-0.11050797244069084,-0.03800949347312039,-0.17533662032209965
AT-Neu,ICOS,CarboEuropeIP;European Fluxes Database;GHG-Europe,v1.3,r1,igjTOOy6rdzyQ7RPN590N98N,47.116318,11.320229,GRA,771.0436888888888,767.5737368421053,19,78.05884048408093,45,0.10123789560688512,767.5762631578947,19,19,997,852,970,1.3.5-rc,1,19,-0.11161617156315448,-0.11357362234063836,0.00195745077748391,-0.06825556354495563
AT-Nsd,ICOS,European Fluxes Database;LTER,v1.3,r1,2Itqw8Hspuyjolyphte0hHnO,47.76914,16.758492,WET,476.162,474.943,5,73.82103575293675,45,0.15503344608124284,474.9434,5,5,576,500.2,115,1.3.5-rc,1,5,-0.08266774974370733,-0.0837806264979375,0.00111287675423015,-0.06127879602872833
AT-PsM,ICOS,European Fluxes Database;LTER,v1.3,r1,STpBN0N9Df49Aabujg7yoJar,47.58145,14.347197,WET,1250.650822222222,1272.6804,5,105.1005852760905,45,0.08403671385218638,1272.5804,5,5,1165,1233,631,1.3.4-rc,1,5,0.03081014760103606,0.03835930468275653,-0.00754915708172049,0.02463715123369386
AT-Zoe,ICOS,European Fluxes Database;LTER,v1.3,r1,cp3qmc9PDJw4kLwCX34YIr1M,47.842247,14.444137,MF,1759.3834222222222,1815.6998181818183,11,171.2111080648535,45,0.0973131302150171,1818.9224545454545,11,11,936,1645,956,1.3.5-rc,1,11,0.2740846467792713,0.2885383356025211,-0.01445368882324984,0.24489005354788787
